,rank_small,title,url,reviews_url,stars,reviews,rank_big,rank_big_name,asin,brand,on_shelf,buy_limit,price,sell,date,type,class,insert_date
0,1,"Sceptre E248W-19203R 24"" Ultra Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in…",https://www.amazon.com/Sceptre-E248W-19203R-Monitor-Speakers-Metallic/dp/B0773ZY26F/ref=zg_bs_1292115011_1?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B0773ZY26F/ref=zg_bs_1292115011_cr_1?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.6,15381,91,Electronics,B0773ZY26F,Sceptre,?November 1 2017,最大购买数: 5,150.44 ,"AMZ 1, FBA 9, FBM 1",2021-11-07,bsr,monitors,2021-11-07
1,2,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=zg_bs_1292115011_2?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B08BF4CZSV/ref=zg_bs_1292115011_cr_2?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.7,18976,192,Electronics,B08BF4CZSV,HP,?September 6 2020,,219.00 ,"AMZ 1, FBA 9, FBM 1",2021-11-07,bsr,monitors,2021-11-07
2,3,"SAMSUNG LC24F396FHNXZA 23.5"" FHD Curved LED-Lit FreeSync Monitor",https://www.amazon.com/Samsung-23-5-Inch-LED-Lit-Monitor-LC24F396FHNXZA/dp/B079K3MXWF/ref=zg_bs_1292115011_3?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B079K3MXWF/ref=zg_bs_1292115011_cr_3?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.7,6590,210,Electronics,B079K3MXWF,SAMSUNG,?Februaryy 27 2018,最大购买数: 2,179.99 ,"AMZ 1, AMZW 1, FBA 3, FBM 3",2021-11-07,bsr,monitors,2021-11-07
3,4,"HP V222vb FHD Monitor, 1080p VA Display, 75Hz Refresh Rate, 21.5-inch Computer…",https://www.amazon.com/HP-21-5-inch-Computer-Certified-Ergonomic/dp/B09256NQ4H/ref=zg_bs_1292115011_4?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B09256NQ4H/ref=zg_bs_1292115011_cr_4?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.6,12773,230,Electronics,B09256NQ4H,HP,?August 15 2021,,134.99 ,"AMZ 1, FBA 10",2021-11-07,bsr,monitors,2021-11-07
4,5,HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA…,https://www.amazon.com/HP-23-8-inch-Adjustment-Speakers-VH240a/dp/B072M34RQC/ref=zg_bs_1292115011_5?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B072M34RQC/ref=zg_bs_1292115011_cr_5?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.7,24454,290,Electronics,B072M34RQC,HP,?July 9 2017,,169.99 ,"AMZ 1, FBA 8, FBM 2",2021-11-07,bsr,monitors,2021-11-07
5,6,"ASUS VG248QG 24"" G-Sync Gaming Monitor 165Hz 1080p 0.5ms Eye Care with DP HDMI…",https://www.amazon.com/VG248QG-G-Sync-Compatible-Gaming-Monitor/dp/B07TNM8L6S/ref=zg_bs_1292115011_6?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B07TNM8L6S/ref=zg_bs_1292115011_cr_6?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.7,4939,315,Electronics,B07TNM8L6S,ASUS,?June 26 2019,最大购买数: 4,189.99 ,"AMZ 1, AMZW 1, FBA 9",2021-11-07,bsr,monitors,2021-11-07
6,7,Portable Monitor - Lepow 15.6 Inch Full HD 1080P USB Type-C Computer Display IPS Eye…,https://www.amazon.com/Portable-Monitor-Computer-Speakers-Protector/dp/B07V1SQ966/ref=zg_bs_1292115011_7?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B07V1SQ966/ref=zg_bs_1292115011_cr_7?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.4,9441,320,Electronics,B07V1SQ966,Lepow,2019/7/30,最大购买数: 30,186.99 ,FBA 5,2021-11-07,bsr,monitors,2021-11-07
7,8,"Sceptre New 22 Inch FHD LED Monitor 75Hz 2X HDMI VGA Build-in Speakers, Machine Black…",https://www.amazon.com/Sceptre-Gaming-Monitor-Build-Speakers/dp/B078HQH2B2/ref=zg_bs_1292115011_8?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B078HQH2B2/ref=zg_bs_1292115011_cr_8?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.5,100,342,Electronics,B078HQH2B2,Sceptre,?December 19 2017,最大购买数: 5,132.20 ,"AMZ 1, FBA 2",2021-11-07,bsr,monitors,2021-11-07
8,9,"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA)…",https://www.amazon.com/HP-Pavilion-21-5-Inch-Monitor-22cwa/dp/B015WCV70W/ref=zg_bs_1292115011_9?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B015WCV70W/ref=zg_bs_1292115011_cr_9?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.6,12773,368,Electronics,B015WCV70W,HP,?October 11 2015,最大购买数: 2,134.99 ,"AMZ 1, FBA 4, FBM 3",2021-11-07,bsr,monitors,2021-11-07
9,10,Sceptre E249W-19203R 24-inch FHD LED Gaming Monitor 2X HDMI VGA 75Hz Build-in…,https://www.amazon.com/Sceptre-Gaming-Monitor-Build-Speakers/dp/B078HTS4BS/ref=zg_bs_1292115011_10?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B078HTS4BS/ref=zg_bs_1292115011_cr_10?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.6,266,405,Electronics,B078HTS4BS,Sceptre,?Februaryy 2 2018,最大购买数: 4,148.97 ,"AMZ 1, FBA 6, FBM 4",2021-11-07,bsr,monitors,2021-11-07
10,11,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",https://www.amazon.com/LG-24M47VQ-24-Inch-LED-lit-Monitor/dp/B00W95RR32/ref=zg_bs_1292115011_11?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B00W95RR32/ref=zg_bs_1292115011_cr_11?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.7,5149,452,Electronics,B00W95RR32,LG,?April 9 2015,最大购买数: 5,149.99 ,"AMZ 1, AMZW 1, FBA 7, FBM 2",2021-11-07,bsr,monitors,2021-11-07
11,12,"Dell S3222HN 32-inch FHD 1920 x 1080 at 75Hz Curved Monitor, 1800R Curvature, 8ms…",https://www.amazon.com/Dell-S3222HN-32-inch-Curvature-Response/dp/B09DYVJS9Z/ref=zg_bs_1292115011_12?_encoding=UTF8&psc=1&refRID=SCGYK20760YCGK2H39MV,https://www.amazon.com/product-reviews/B09DYVJS9Z/ref=zg_bs_1292115011_cr_12?ie=UTF8&refRID=SCGYK20760YCGK2H39MV,4.6,16,522,Electronics,B09DYVJS9Z,Dell,?August 30 2021,最大购买数: 3,229.99 ,"AMZ 1, AMZW 1",2021-11-07,bsr,monitors,2021-11-07
