,rank_small,title,url,reviews_url,stars,reviews,rank_big,rank_big_name,asin,brand,on_shelf,buy_limit,price,sell,date,type,class,insert_date
0,1,"Apple Watch Series?7 GPS, 45mm Midnight Aluminum Case with Midnight Sport Band…",https://www.amazon.com/Apple-Watch-Midnight-Aluminum-Sport/dp/B09HF6XBPF/ref=zg_bs_7939901011_1?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B09HF6XBPF/ref=zg_bs_7939901011_cr_1?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.5,86,-1,Electronics,B09HF6XBPF,Apple,?2021年September28日,-1,429.00,-1,2021-11-08,bsr,watches,2021-11-08
1,2,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin…",https://www.amazon.com/Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B08DFCWVZ4/ref=zg_bs_7939901011_2?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B08DFCWVZ4/ref=zg_bs_7939901011_cr_2?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.4,21207,55,Electronics,B08DFCWVZ4,Fitbit,2020年August25日,-1,199.95,-1,2021-11-08,bsr,watches,2021-11-08
2,3,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin…",https://www.amazon.com/Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B08DFLG5SP/ref=zg_bs_7939901011_3?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B08DFLG5SP/ref=zg_bs_7939901011_cr_3?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.4,21207,119,Electronics,B08DFLG5SP,Fitbit,2020年August25日,-1,199.95,-1,2021-11-08,bsr,watches,2021-11-08
3,4,"Apple Watch Series?7 GPS, 41mm Starlight Aluminum Case with Starlight Sport Band…",https://www.amazon.com/Apple-Watch-Starlight-Aluminum-Sport/dp/B09HF6H3X3/ref=zg_bs_7939901011_4?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B09HF6H3X3/ref=zg_bs_7939901011_cr_4?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.5,86,-1,Electronics,B09HF6H3X3,Apple,?2021年September28日,-1,399.00,-1,2021-11-08,bsr,watches,2021-11-08
4,5,Minecraft Touchscreen Interactive Smart Watch (Model: MIN4045AZ),https://www.amazon.com/Minecraft-Touchscreen-Interactive-Smart-Watch/dp/B08YFKKRY3/ref=zg_bs_7939901011_5?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B08YFKKRY3/ref=zg_bs_7939901011_cr_5?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.4,474,142,Electronics,B08YFKKRY3,Minecraft,2021年March9日,-1,34.99,-1,2021-11-08,bsr,watches,2021-11-08
5,6,"Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Midnight Sport Band…",https://www.amazon.com/Apple-Watch-GPS-40mm-Aluminium/dp/B09G96SSLB/ref=zg_bs_7939901011_6?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B09G96SSLB/ref=zg_bs_7939901011_cr_6?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.8,22999,-1,Electronics,B09G96SSLB,Apple,?2021年September14日,-1,279.00,-1,2021-11-08,bsr,watches,2021-11-08
6,7,"Garmin 010-02173-11 Venu, GPS Smartwatch with Bright Touchscreen Display, Features…",https://www.amazon.com/Garmin-Smartwatch-Touchscreen-Monitoring-010-02173-11/dp/B07WLN9RYD/ref=zg_bs_7939901011_7?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B08JZ7Y1KG/ref=zg_bs_7939901011_cr_7?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.6,4797,143,Electronics,B07WLN9RYD,Garmin,2019年September5日,-1,199.95,-1,2021-11-08,bsr,watches,2021-11-08
7,8,"Apple Watch Series?7 GPS, 41mm Midnight Aluminum Case with Midnight Sport Band…",https://www.amazon.com/Apple-Watch-Midnight-Aluminum-Sport/dp/B09HF7W3N6/ref=zg_bs_7939901011_8?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B09HF7W3N6/ref=zg_bs_7939901011_cr_8?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.5,86,-1,Electronics,B09HF7W3N6,Apple,?2021年September28日,-1,399.99,-1,2021-11-08,bsr,watches,2021-11-08
8,9,Marvel Spider-Man Touchscreen Interactive Smart Watch (Model: SPD4588AZ),https://www.amazon.com/Marvel-Spider-Man-Touchscreen-Interactive-Smart/dp/B07RNYC69S/ref=zg_bs_7939901011_9?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B07RNYC69S/ref=zg_bs_7939901011_cr_9?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.5,6142,181,Electronics,B07RNYC69S,Marvel,2019年January1日,-1,34.99,-1,2021-11-08,bsr,watches,2021-11-08
9,10,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin…",https://www.amazon.com/Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B09B7W8K38/ref=zg_bs_7939901011_10?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B09B7W8K38/ref=zg_bs_7939901011_cr_10?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.4,21207,190,Electronics,B09B7W8K38,Fitbit,2021年August16日,-1,199.95,-1,2021-11-08,bsr,watches,2021-11-08
10,11,"Smart Watch, Popglory Smartwatch with Blood Pressure, Blood Oxygen Monitor, Fitness…",https://www.amazon.com/Popglory-Smartwatch-Pressure-Monitor-Fitness/dp/B08DXQSVDC/ref=zg_bs_7939901011_11?_encoding=UTF8&psc=1&refRID=G703EWWAP8XVEPFFQK0B,https://www.amazon.com/product-reviews/B08DXQSVDC/ref=zg_bs_7939901011_cr_11?ie=UTF8&refRID=G703EWWAP8XVEPFFQK0B,4.0,8938,207,Electronics,B08DXQSVDC,Popglory,2020年July30日,-1,29.99,-1,2021-11-08,bsr,watches,2021-11-08
